"Incident ID","Incident Date","State","City Or County","Address","# Victims Killed","# Victims Injured","# Subjects-Suspects Killed","# Subjects-Suspects Injured","# Subjects-Suspects Arrested","Operations","Year","long","lat"
2043715,"June 23, 2021","Illinois","Chicago","7000  S Vincennes Ave",0,4,0,0,0,"N/A","2021",-87.627274,41.767175
2041726,"June 21, 2021","Missouri","Saint Louis","4002 Sullivan Ave",3,3,0,1,1,"N/A","2021",-90.2273490041256,38.661811637137
2041555,"June 21, 2021","District of Columbia","Washington","300  50th St NE",0,4,0,0,0,"N/A","2021",-76.9301904,38.8937872
2040643,"June 20, 2021","Virginia","Richmond","200  Crane St",1,3,0,0,0,"N/A","2021",-71.7638181963122,44.2982814743542
2041297,"June 20, 2021","California","Richmond","2108 Dunn Ave",3,5,0,0,2,"N/A","2021",-86.759298535194,36.1297132473248
2040265,"June 20, 2021","Colorado","Aurora","12455 E Mississippi Ave",1,4,0,0,0,"N/A","2021",-104.844351040816,39.6966875510204
2041363,"June 20, 2021","Florida","Wildwood","9605 Co Rd 235",1,10,0,0,1,"N/A","2021",-75.2527397,43.0304787
2040374,"June 20, 2021","Texas","Dallas","4619 E R L Thornton Freeway",0,8,0,0,0,"N/A","2021",-96.7619828666942,32.79094235
2040732,"June 20, 2021","Ohio","Cincinnati","3000  Borden St",1,3,0,0,2,"N/A","2021",-64.5700782866667,45.0788038
2040243,"June 20, 2021","Indiana","Granger","7321 Heritage Square Dr",1,4,0,0,0,"N/A","2021",-89.0845832,43.0430275
2040991,"June 20, 2021","New Jersey","Atlantic City","1700  Atlantic Ave",1,3,0,0,0,"N/A","2021",-73.934212,40.6774413
2039457,"June 19, 2021","Alaska","Anchorage","E 3rd Ave",1,4,0,0,1,"N/A","2021",-104.9773875,39.7201226
2039346,"June 19, 2021","Louisiana","Baton Rouge","7132 Florida Blvd",2,4,0,0,0,"N/A","2021",-91.115671,30.4514423333333
2040013,"June 19, 2021","New Jersey","Newark","525 Elizabeth Ave",0,4,0,0,0,"N/A","2021",-80.0803224595196,40.4797242
2039964,"June 19, 2021","California","Oakland","2200  Lakeshore Ave",1,7,0,0,0,"N/A","2021",-104.625215,38.229292
2039441,"June 18, 2021","Minnesota","Minneapolis","400  14th Ave SE",0,5,0,0,0,"N/A","2021",-123.098593460436,44.6272722
2037813,"June 17, 2021","Virginia","Petersburg","Virginia Ave",0,4,0,0,0,"N/A","2021",-77.9607686,39.2490057
2037887,"June 17, 2021","North Carolina","Durham","1600  Holloway St",2,2,0,0,0,"N/A","2021",-78.8737369444882,35.9936387
2038622,"June 17, 2021","Ohio","Cincinnati","3056 Mathers St",1,3,0,0,0,"N/A","2021",-84.4859847109188,39.1365494737875
2038152,"June 17, 2021","New Jersey","Paterson","Rosa Parks Blvd",0,4,0,0,0,"N/A","2021",-111.885367,40.7628673
2036635,"June 16, 2021","Maryland","Baltimore","2100  West Lexington St",1,5,0,0,0,"N/A","2021",-76.6504316,39.2905613
2036121,"June 15, 2021","Illinois","Chicago","3800  W Monroe St",0,5,0,0,0,"N/A","2021",-93.356763,37.202153
2035452,"June 15, 2021","Illinois","Chicago","6221 S Morgan St",5,3,0,0,0,"N/A","2021",-87.6493837150591,41.78084045
2035313,"June 15, 2021","Alabama","Albertville","956 Industrial Blvd",2,2,1,0,0,"N/A","2021",-75.0424831329054,40.1620854153401
2035733,"June 14, 2021","Georgia","Columbus","3400 8th Ave",2,2,0,0,3,"N/A","2021",-97.3441978664548,32.7003948
2034408,"June 14, 2021","Michigan","Lansing","300  N Cedar St",2,2,0,0,0,"N/A","2021",-93.60347,44.785897
2034470,"June 14, 2021","Florida","Boynton Beach","I-95",1,3,0,0,0,"N/A","2021",-73.9520868,40.8515177
2033905,"June 13, 2021","Ohio","West Salem","9161 Rainbow Hwy",1,5,0,1,1,"N/A","2021",-82.0951724905335,40.9824734405382
2033605,"June 13, 2021","Kentucky","Louisville","5200  Robinwood Rd",1,3,0,0,0,"N/A","2021",-85.666019550717,38.1751141
2032220,"June 12, 2021","Texas","Austin","400  E 6th St",1,13,0,1,1,"N/A","2021",-107.77940975,39.534582
2032486,"June 12, 2021","Ohio","Cleveland","8805 Buckeye Rd",3,4,0,0,2,"N/A","2021",-90.7578434604648,38.2123142474768
2032203,"June 12, 2021","Illinois","Chicago","7500  S Prairie Ave",1,9,0,0,0,"N/A","2021",-87.618419,41.75823
2031976,"June 11, 2021","Georgia","Savannah","200  Avery St",2,6,0,0,0,"N/A","2021",-72.522396,41.8169897
2032580,"June 11, 2021","North Carolina","Winston Salem (Winston-salem)","844 E. Devonshire St",1,3,0,0,0,"N/A","2021",-80.2211649148332,36.0668520808531
2031801,"June 11, 2021","Washington","Seattle","9808 16th Ave SW",2,2,0,0,0,"N/A","2021",-122.354834650527,47.5151644
2032282,"June 11, 2021","Texas","Dallas","378 N Jim Miller Rd",0,5,0,0,1,"N/A","2021",-96.69928715,32.7170307
2030720,"June 10, 2021","Michigan","Detroit","1600 block Calvert Ave",1,3,0,0,0,"N/A","2021",NA,NA
2030639,"June 10, 2021","New York","Yonkers","150 Elm St",0,4,0,0,3,"N/A","2021",-71.8028271815287,42.5856649
2030708,"June 10, 2021","Illinois","Chicago","6530 S Claremont Ave",1,4,0,0,1,"N/A","2021",-87.6822821841575,41.7749922256459
2029078,"June 8, 2021","Tennessee","Nashville","Clarksville Pike",1,3,0,0,0,"N/A","2021",-90.9051315,39.3706026
2028745,"June 8, 2021","Tennessee","Memphis","2246 Eldridge Ave",1,4,0,0,1,"N/A","2021",-114.441851688172,42.5411086236559
2028928,"June 8, 2021","Texas","Houston","4115 Washington Ave",0,5,0,0,0,"N/A","2021",-95.4029818973239,29.769999
2027736,"June 7, 2021","Ohio","Cleveland","4100  E 81st St",0,6,0,0,0,"N/A","2021",-95.931372,36.046279
